transaction_id,sale_date,customer_id,amount,channel
Q1-00074,2023-03-31,4302,88.74,In-Store
Q1-00075,2023-01-31,4698,454.42,Phone
Q1-00076,2023-03-28,2753,269.37,Phone
Q1-00077,2023-03-12,2316,269.16,In-Store
Q1-00078,2023-01-27,2719,316.15,Online
Q1-00079,2023-03-02,449,137.61,In-Store
Q1-00080,2023-03-13,2163,295.5,Online
Q1-00081,2023-02-26,978,242.95,Online
Q1-00082,2023-03-16,4914,49.64,In-Store
Q1-00083,2023-03-27,1263,190.55,In-Store
Q1-00084,2023-02-07,992,371.44,Online
Q1-00085,2023-01-06,1667,163.03,In-Store
Q1-00086,2023-03-13,624,124.42,Phone
Q1-00087,2023-03-27,4850,314.38,In-Store
Q1-00088,2023-01-12,4661,472.04,Online
Q1-00089,2023-01-17,4637,101.2,In-Store
Q1-00090,2023-03-19,4273,425.54,Online
Q1-00091,2023-02-07,2415,331.88,In-Store
Q1-00092,2023-01-21,2368,146.88,Phone
Q1-00093,2023-02-17,2189,232.21,In-Store
Q1-00094,2023-02-10,1248,37.34,Phone
Q1-00095,2023-02-18,831,61.76,In-Store
Q1-00096,2023-01-26,471,156.92,Phone
Q1-00097,2023-01-26,541,395.49,Online
Q1-00098,2023-03-09,1630,484.21,In-Store
Q1-00099,2023-02-26,856,141.44,Phone
Q1-00100,2023-01-08,2295,312.96,In-Store
Q1-00101,2023-02-23,145,468.92,Phone
Q1-00102,2023-02-25,2258,35.12,Phone
Q1-00103,2023-03-14,580,216.85,In-Store
Q1-00104,2023-03-07,733,62.08,Online
Q1-00105,2023-02-21,1868,431.28,Online
Q1-00106,2023-02-20,4503,99.85,Phone
Q1-00107,2023-02-24,1276,277.12,Online
Q1-00108,2023-03-14,2433,27.4,Phone
Q1-00109,2023-02-08,55,477.71,In-Store
Q1-00110,2023-02-10,2245,92.28,Online
Q1-00111,2023-03-02,3875,229.01,Phone
Q1-00112,2023-03-16,4006,251.94,Phone
Q1-00113,2023-01-17,3534,489.07,In-Store
Q1-00114,2023-03-21,820,369.94,Phone
Q1-00115,2023-02-27,2539,448.88,In-Store
Q1-00116,2023-03-19,3273,497.1,Online
Q1-00117,2023-03-25,339,247.99,In-Store
Q1-00118,2023-01-26,3440,389.88,Online
Q1-00119,2023-01-08,3195,392.81,Online
Q1-00120,2023-03-20,2897,162.88,Online
Q1-00121,2023-03-13,1774,40.73,In-Store
Q1-00122,2023-03-31,2700,88.94,In-Store
Q1-00123,2023-01-23,635,73.58,Online
Q1-00124,2023-03-21,115,293.4,Online
Q1-00125,2023-02-17,2975,37.93,In-Store
Q1-00126,2023-03-31,3632,236.83,Online
Q1-00127,2023-01-05,2646,470.31,Phone
Q1-00128,2023-02-16,1433,81.74,Phone
Q1-00129,2023-01-25,4983,161.04,Phone
Q1-00130,2023-01-17,4114,52.86,Online
Q1-00131,2023-01-19,111,368.41,In-Store
Q1-00132,2023-03-28,2039,210.0,In-Store
Q1-00133,2023-02-25,3897,197.2,In-Store
Q1-00134,2023-03-03,2028,309.52,Online
Q1-00135,2023-01-18,2299,288.17,Online
Q1-00136,2023-01-20,2137,430.8,Phone
Q1-00137,2023-03-26,693,264.67,In-Store
Q1-00138,2023-03-02,3853,5.73,In-Store
Q1-00139,2023-01-26,1089,356.79,Online
Q1-00140,2023-02-24,1132,28.37,Online
Q1-00141,2023-02-22,199,166.67,Phone
Q1-00142,2023-01-16,4243,365.27,In-Store
Q1-00143,2023-03-05,4916,345.78,In-Store
Q1-00144,2023-01-13,2245,77.24,Online
Q1-00145,2023-03-28,2626,468.43,Phone
Q1-00146,2023-01-17,779,220.39,In-Store
Q1-00147,2023-03-21,3008,452.85,In-Store
Q1-00148,2023-01-29,2367,184.1,Phone
Q1-00149,2023-03-01,77,405.49,In-Store
Q1-00150,2023-03-10,4674,325.96,Phone
Q1-00151,2023-01-08,2068,393.33,Online
Q1-00152,2023-01-06,1358,382.66,Online
Q1-00153,2023-03-02,1061,286.71,In-Store
Q1-00154,2023-03-28,3352,402.27,Online
Q1-00155,2023-01-28,1243,395.19,In-Store
Q1-00156,2023-02-08,4682,72.08,Phone
Q1-00157,2023-01-17,440,36.79,In-Store
Q1-00158,2023-01-09,4925,211.64,Phone
Q1-00159,2023-03-19,756,395.32,In-Store
Q1-00160,2023-01-31,1869,382.76,Online
Q1-00161,2023-02-15,4276,431.39,Online
Q1-00162,2023-01-13,821,94.23,Online
Q1-00163,2023-03-23,2771,394.65,In-Store
Q1-00164,2023-02-26,3453,440.68,Online
Q1-00165,2023-03-31,331,268.8,Phone
Q1-00166,2023-03-08,2479,438.39,In-Store
Q1-00167,2023-02-05,1653,270.24,Online
Q1-00168,2023-03-13,486,146.76,In-Store
Q1-00169,2023-03-30,4627,346.24,Online
Q1-00170,2023-01-02,1093,435.31,In-Store
Q1-00171,2023-02-28,4932,422.15,Online
Q1-00172,2023-02-24,3115,304.99,In-Store
Q1-00173,2023-03-26,2665,490.66,In-Store
Q1-00174,2023-01-10,2246,409.64,In-Store
Q1-00175,2023-02-04,581,259.24,In-Store
Q1-00176,2023-01-29,858,203.37,Online
Q1-00177,2023-02-18,4451,382.21,Online
Q1-00178,2023-03-06,274,383.85,Phone
Q1-00179,2023-02-28,3845,191.71,In-Store
Q1-00180,2023-02-10,3584,47.53,In-Store
Q1-00181,2023-02-10,736,370.06,In-Store
Q1-00182,2023-03-07,1002,328.59,In-Store
Q1-00183,2023-02-13,4942,130.19,Online
Q1-00184,2023-02-25,959,280.15,Phone
Q1-00185,2023-01-24,2754,40.58,Online
Q1-00186,2023-02-17,4205,325.18,Phone
Q1-00187,2023-02-18,555,183.31,Online
Q1-00188,2023-03-16,699,352.16,Phone
Q1-00189,2023-02-24,2724,19.17,In-Store
Q1-00190,2023-03-11,309,412.04,Phone
Q1-00191,2023-01-22,2141,219.93,Online
Q1-00192,2023-01-07,4644,338.4,Online
Q1-00193,2023-02-28,3292,235.49,Phone
Q1-00194,2023-03-19,3265,390.37,Phone
Q1-00195,2023-03-26,3361,217.72,In-Store
Q1-00196,2023-01-19,830,137.92,In-Store
Q1-00197,2023-02-05,253,459.18,Phone
Q1-00198,2023-01-20,3010,469.43,In-Store
Q1-00199,2023-02-21,3431,136.04,In-Store
Q1-00200,2023-03-09,852,418.61,In-Store
Q1-00201,2023-03-25,113,119.78,Online
Q1-00202,2023-01-16,2916,35.05,Phone
Q1-00203,2023-01-14,1330,241.25,Phone
Q1-00204,2023-03-07,330,347.32,In-Store
Q1-00205,2023-01-12,2075,379.39,In-Store
Q1-00206,2023-01-18,4653,476.76,In-Store
Q1-00207,2023-03-27,2833,437.99,Online
Q1-00208,2023-01-29,4794,280.83,Phone
Q1-00209,2023-01-10,901,483.79,Online
Q1-00210,2023-01-10,2441,358.99,Phone
Q1-00211,2023-02-04,4037,99.29,In-Store
Q1-00212,2023-03-16,2462,403.38,Online
Q1-00213,2023-01-30,3471,358.46,In-Store
Q1-00214,2023-01-11,4658,240.5,Phone
Q1-00215,2023-01-21,100,302.56,In-Store
Q1-00216,2023-03-20,2404,225.58,In-Store
Q1-00217,2023-01-23,3129,49.59,Online
Q1-00218,2023-01-22,48,67.57,In-Store
Q1-00219,2023-01-02,2724,357.18,Online
Q1-00220,2023-02-07,1622,440.12,In-Store
Q1-00221,2023-02-02,3790,256.36,Online
Q1-00222,2023-01-23,2144,216.58,Phone
Q1-00223,2023-01-11,3203,113.91,Online
Q1-00224,2023-02-11,1848,29.95,Online
Q1-00225,2023-01-03,10,183.75,Online
Q1-00226,2023-01-27,2138,415.82,In-Store
Q1-00227,2023-01-13,2021,39.11,Online
Q1-00228,2023-03-09,45,449.1,Phone
Q1-00229,2023-01-19,3210,350.99,Online
Q1-00230,2023-03-30,4914,468.88,Phone
Q1-00231,2023-01-08,3467,49.99,Phone
Q1-00232,2023-02-18,2102,176.35,Phone
Q1-00233,2023-01-07,4315,142.43,In-Store
Q1-00234,2023-02-24,2996,126.59,Phone
Q1-00235,2023-01-09,79,373.91,Online
Q1-00236,2023-01-17,2236,436.48,Online
Q1-00237,2023-03-02,1867,454.34,Online
Q1-00238,2023-03-16,1283,475.74,Online
Q1-00239,2023-01-09,903,371.7,In-Store
Q1-00240,2023-01-06,3198,499.79,Phone
Q1-00241,2023-01-26,4700,23.61,Online
Q1-00242,2023-03-30,2308,188.56,Phone
Q1-00243,2023-03-12,2827,100.7,Phone
Q1-00244,2023-03-15,2597,300.54,Online
Q1-00245,2023-03-12,3651,337.87,In-Store
Q1-00246,2023-01-20,2266,215.31,Phone
Q1-00247,2023-02-09,2485,69.4,Phone
Q1-00248,2023-02-04,1232,59.47,In-Store
Q1-00249,2023-01-21,3919,383.04,Phone
Q1-00250,2023-03-13,943,101.58,Online
Q1-00251,2023-03-24,3326,74.97,Online
Q1-00252,2023-03-11,642,130.8,Online
Q1-00253,2023-01-24,2516,390.41,In-Store
Q1-00254,2023-01-25,4292,122.63,In-Store
Q1-00255,2023-03-19,2108,91.02,Phone
Q1-00256,2023-02-04,2505,9.63,In-Store
Q1-00257,2023-03-29,1371,439.17,Phone
Q1-00258,2023-01-05,3465,160.55,Online
Q1-00259,2023-02-22,2648,327.57,Online
Q1-00260,2023-02-25,1029,459.31,Phone
Q1-00261,2023-02-21,3627,195.56,In-Store
Q1-00262,2023-02-24,2149,166.46,Phone
Q1-00263,2023-02-14,1012,171.6,Phone
Q1-00264,2023-02-10,4785,35.95,Phone
Q1-00265,2023-01-27,1207,54.69,Phone
Q1-00266,2023-02-01,106,251.95,Phone
Q1-00267,2023-02-15,4493,23.57,In-Store
Q1-00268,2023-01-09,2890,272.06,In-Store
Q1-00269,2023-02-05,1093,495.06,In-Store
Q1-00270,2023-03-05,7,399.11,Online
Q1-00271,2023-01-18,839,258.66,In-Store
Q1-00272,2023-02-01,1887,414.01,Online
Q1-00273,2023-01-11,3844,413.92,Online
Q1-00274,2023-03-02,4564,181.6,In-Store
Q1-00275,2023-01-12,3835,21.07,Phone
Q1-00276,2023-01-13,38,287.64,Online
Q1-00277,2023-02-23,652,167.8,Phone
Q1-00278,2023-03-29,4013,67.48,Online
Q1-00279,2023-02-10,2015,58.44,In-Store
Q1-00280,2023-01-26,4688,24.3,Phone
Q1-00281,2023-01-24,355,179.02,Phone
Q1-00282,2023-03-20,4720,498.34,Phone
Q1-00283,2023-01-19,1057,360.55,Phone
Q1-00284,2023-03-08,947,388.72,Online
Q1-00285,2023-03-06,108,243.98,In-Store
Q1-00286,2023-03-10,154,335.57,Online
Q1-00287,2023-03-11,1136,180.98,Online
Q1-00288,2023-02-12,3137,470.45,Phone
Q1-00289,2023-02-24,4170,145.21,Online
Q1-00290,2023-02-26,1637,470.16,In-Store
Q1-00291,2023-03-26,2603,140.31,In-Store
Q1-00292,2023-02-08,3599,460.82,Online
Q1-00293,2023-03-06,841,99.14,In-Store
Q1-00294,2023-01-11,2059,422.59,Phone
Q1-00295,2023-03-23,2297,37.25,Phone
Q1-00296,2023-01-14,72,394.76,Phone
Q1-00297,2023-01-06,3423,336.47,In-Store
Q1-00298,2023-03-30,988,244.3,Online
Q1-00299,2023-03-20,2342,497.47,Phone
Q1-00300,2023-01-18,3831,245.09,Phone
Q1-00301,2023-01-22,2505,412.15,In-Store
Q1-00302,2023-01-12,695,60.14,Phone
Q1-00303,2023-01-17,1982,398.2,Phone
Q1-00304,2023-02-19,2078,424.01,In-Store
Q1-00305,2023-02-02,4814,449.1,Phone
Q1-00306,2023-02-07,225,105.78,In-Store
Q1-00307,2023-03-31,3370,192.86,In-Store
Q1-00308,2023-01-30,1407,110.23,Online
Q1-00309,2023-02-21,4606,359.81,Phone
Q1-00310,2023-02-16,3745,403.27,In-Store
Q1-00311,2023-01-05,503,109.23,Online
Q1-00312,2023-01-24,1422,300.36,Phone
Q1-00313,2023-03-15,4002,367.88,Phone
Q1-00314,2023-02-04,2637,359.03,Phone
Q1-00315,2023-03-15,3906,371.59,Phone
Q1-00316,2023-01-20,2883,303.43,Online
Q1-00317,2023-02-22,1779,357.69,In-Store
Q1-00318,2023-03-17,2451,406.5,In-Store
Q1-00319,2023-01-08,400,207.66,In-Store
Q1-00320,2023-02-21,2395,475.05,In-Store
Q1-00321,2023-02-27,4544,158.44,In-Store
Q1-00322,2023-03-04,2996,50.99,Phone
Q1-00323,2023-03-03,3903,221.06,Phone
Q1-00324,2023-01-24,2908,43.07,Online
Q1-00325,2023-03-26,1734,218.2,Phone
Q1-00326,2023-03-27,2926,170.86,Online
Q1-00327,2023-02-03,2058,449.84,Phone
Q1-00328,2023-03-12,2514,420.88,In-Store
Q1-00329,2023-01-01,2012,272.25,Online
Q1-00330,2023-03-06,2558,450.71,Online
Q1-00331,2023-03-19,950,28.41,In-Store
Q1-00332,2023-03-23,794,51.02,Phone
Q1-00333,2023-03-07,3384,288.01,Phone
Q1-00334,2023-01-12,3031,301.79,Phone
Q1-00335,2023-01-05,392,359.19,In-Store
Q1-00336,2023-02-05,3491,66.43,In-Store
Q1-00337,2023-01-23,4809,305.18,Phone
Q1-00338,2023-02-27,2952,411.5,Online
Q1-00339,2023-01-01,3951,262.09,Phone
Q1-00340,2023-02-21,2619,178.16,Online
Q1-00341,2023-03-15,1376,189.1,In-Store
Q1-00342,2023-03-02,2691,194.01,In-Store
Q1-00343,2023-01-05,4846,436.97,Phone
Q1-00344,2023-02-20,4949,141.18,Phone
Q1-00345,2023-02-15,3433,359.8,Online
Q1-00346,2023-03-01,4499,372.09,Phone
Q1-00347,2023-02-23,4079,273.51,In-Store
Q1-00348,2023-01-19,353,454.21,In-Store
Q1-00349,2023-03-11,248,298.37,Phone
Q1-00350,2023-02-28,1043,262.95,Online
Q1-00351,2023-01-27,1850,23.94,In-Store
Q1-00352,2023-03-16,4432,461.43,In-Store
Q1-00353,2023-01-18,363,306.8,In-Store
Q1-00354,2023-03-22,68,459.13,Phone
Q1-00355,2023-02-04,22,210.04,Phone
Q1-00356,2023-01-07,2849,184.08,Online
Q1-00357,2023-02-07,3005,272.53,Online
Q1-00358,2023-02-18,1780,382.1,In-Store
Q1-00359,2023-02-03,1886,97.12,In-Store
Q1-00360,2023-01-20,3323,448.41,Online
Q1-00361,2023-03-24,3144,402.49,Online
Q1-00362,2023-03-22,1702,368.93,Online
Q1-00363,2023-01-01,1563,201.11,In-Store
Q1-00364,2023-03-29,4663,433.99,Phone
Q1-00365,2023-03-27,1501,426.68,Phone
Q1-00366,2023-01-21,3801,49.93,Phone
Q1-00367,2023-01-22,926,189.84,In-Store
Q1-00368,2023-03-09,3284,280.83,In-Store
Q1-00369,2023-03-27,4521,187.45,Phone
Q1-00370,2023-01-18,2452,353.32,Phone
Q1-00371,2023-01-19,497,230.19,Online
Q1-00372,2023-01-14,1552,445.31,Online
Q1-00373,2023-03-03,3830,226.38,In-Store
Q1-00374,2023-02-24,3521,197.2,Online
Q1-00375,2023-01-30,517,135.21,Phone
Q1-00376,2023-01-22,1107,342.21,In-Store
Q1-00377,2023-03-25,774,68.58,Phone
Q1-00378,2023-01-18,4256,99.58,In-Store
Q1-00379,2023-03-22,3795,157.29,Phone
Q1-00380,2023-03-14,633,281.75,Phone
Q1-00381,2023-03-20,893,237.89,Phone
Q1-00382,2023-02-16,574,70.82,Phone
Q1-00383,2023-01-13,3928,342.55,In-Store
Q1-00384,2023-01-25,762,467.18,In-Store
Q1-00385,2023-03-28,4289,348.7,Phone
Q1-00386,2023-01-07,1604,137.12,Phone
Q1-00387,2023-02-20,2632,365.39,Online
Q1-00388,2023-03-28,4585,63.98,Online
Q1-00389,2023-02-15,2492,294.04,Phone
Q1-00390,2023-02-03,3595,49.07,Phone
Q1-00391,2023-02-09,3228,313.12,Online
Q1-00392,2023-03-25,1273,94.11,Online
Q1-00393,2023-02-21,2919,388.22,In-Store
Q1-00394,2023-01-01,4623,131.76,Online
Q1-00395,2023-03-03,1881,370.97,Online
Q1-00396,2023-01-04,488,78.17,Phone
Q1-00397,2023-02-26,4076,485.42,Phone
Q1-00398,2023-03-28,1945,327.77,Online
Q1-00399,2023-02-04,3516,178.09,Online
Q1-00400,2023-01-18,4908,208.88,Phone
Q1-00401,2023-01-09,832,338.16,Online
Q1-00402,2023-01-17,2596,242.69,Phone
Q1-00403,2023-01-05,3685,356.34,In-Store
Q1-00404,2023-01-28,3232,176.98,In-Store
Q1-00405,2023-01-08,1274,387.32,In-Store
Q1-00406,2023-02-25,420,445.34,Online
Q1-00407,2023-03-11,544,309.56,In-Store
Q1-00408,2023-01-18,4325,309.7,Online
Q1-00409,2023-03-17,821,327.28,In-Store
Q1-00410,2023-01-29,222,60.15,In-Store
Q1-00411,2023-02-24,1226,219.11,Online
Q1-00412,2023-03-05,4952,10.74,In-Store
Q1-00413,2023-03-16,1319,175.97,Phone
Q1-00414,2023-03-24,450,26.34,Phone
Q1-00415,2023-02-01,3495,306.37,Online
Q1-00416,2023-03-25,310,453.99,In-Store
Q1-00417,2023-03-06,4169,482.43,In-Store
Q1-00418,2023-02-01,4364,24.21,In-Store
Q1-00419,2023-02-16,291,88.98,Online
Q1-00420,2023-02-01,4744,389.09,Online
Q1-00421,2023-03-29,1772,140.11,Phone
Q1-00422,2023-02-04,4384,282.97,In-Store
Q1-00423,2023-02-20,1429,134.25,Online
Q1-00424,2023-03-06,1084,470.63,Phone
Q1-00425,2023-03-23,4331,114.1,Online
Q1-00426,2023-03-15,4559,300.68,Online
Q1-00427,2023-02-05,269,155.93,Phone
Q1-00428,2023-01-12,2330,137.68,In-Store
Q1-00429,2023-02-14,388,20.91,Online
Q1-00430,2023-01-06,4875,478.12,Online
Q1-00431,2023-02-27,4592,375.39,Online
Q1-00432,2023-02-13,4239,138.44,Online
Q1-00433,2023-01-09,1584,137.92,Online
Q1-00434,2023-03-24,3831,309.45,Phone
Q1-00435,2023-02-03,3184,262.22,Online
Q1-00436,2023-01-04,1983,304.43,In-Store
Q1-00437,2023-01-20,1832,55.04,Online
Q1-00438,2023-02-05,4469,465.1,Online
Q1-00439,2023-03-08,4555,445.96,Phone
Q1-00440,2023-03-16,2654,286.87,Online
Q1-00441,2023-01-24,3793,272.07,In-Store
Q1-00442,2023-01-16,1769,8.8,Phone
Q1-00443,2023-03-11,4593,260.92,Phone
Q1-00444,2023-03-12,4871,151.94,Phone
Q1-00445,2023-01-16,657,187.58,Phone
Q1-00446,2023-02-04,4564,207.78,In-Store
Q1-00447,2023-02-23,3383,18.15,Online
Q1-00448,2023-03-18,102,96.03,Online
Q1-00449,2023-03-15,4242,213.2,Online
Q1-00450,2023-01-23,35,232.78,In-Store
Q1-00451,2023-01-22,843,130.89,In-Store
Q1-00452,2023-02-08,4385,366.32,Phone
Q1-00453,2023-03-06,3113,19.58,In-Store
Q1-00454,2023-01-14,1342,54.12,In-Store
Q1-00455,2023-03-06,637,72.72,Phone
Q1-00456,2023-01-28,486,325.15,In-Store
Q1-00457,2023-01-22,4092,259.39,Online
Q1-00458,2023-03-02,572,10.71,In-Store
Q1-00459,2023-03-12,796,323.75,Phone
Q1-00460,2023-01-24,2455,136.26,In-Store
Q1-00461,2023-03-02,2176,419.75,Online
Q1-00462,2023-02-24,893,388.05,Phone
Q1-00463,2023-01-07,2395,179.32,Online
Q1-00464,2023-03-04,379,355.49,In-Store
Q1-00465,2023-01-06,1422,399.65,Online
Q1-00466,2023-03-06,2095,31.22,Phone
Q1-00467,2023-03-03,2144,458.89,Phone
Q1-00468,2023-02-23,4597,193.59,In-Store
Q1-00469,2023-03-06,3694,97.97,Phone
Q1-00470,2023-02-09,2378,69.92,Online
Q1-00471,2023-02-19,4069,125.72,Phone
Q1-00472,2023-01-11,2845,443.84,Phone
Q1-00473,2023-02-05,3508,422.69,Phone
Q1-00474,2023-03-01,216,308.51,Phone
Q1-00475,2023-01-26,2795,52.49,Online
Q1-00476,2023-02-22,2145,184.41,Online
Q1-00477,2023-02-01,1094,204.49,Online
Q1-00478,2023-03-22,4733,120.87,Phone
Q1-00479,2023-02-14,843,444.46,Phone
Q1-00480,2023-02-15,1926,174.38,In-Store
Q1-00481,2023-03-11,2656,364.97,In-Store
Q1-00482,2023-01-17,2452,275.7,Online
Q1-00483,2023-01-19,1923,270.08,Phone
Q1-00484,2023-02-26,1880,242.71,In-Store
Q1-00485,2023-02-22,1952,104.84,Phone
Q1-00486,2023-01-18,3350,452.72,Phone
Q1-00487,2023-01-20,1932,366.72,Phone
Q1-00488,2023-03-18,3999,491.68,In-Store
Q1-00489,2023-03-28,3799,474.95,Online
Q1-00490,2023-03-04,2712,373.61,In-Store
Q1-00491,2023-02-17,1448,75.17,Online
Q1-00492,2023-02-25,236,110.01,In-Store
Q1-00493,2023-01-25,1803,230.08,In-Store
Q1-00494,2023-02-08,3888,83.42,Online
Q1-00495,2023-02-01,1506,204.13,In-Store
Q1-00496,2023-01-08,1910,167.04,In-Store
Q1-00497,2023-01-11,4012,275.16,In-Store
Q1-00498,2023-01-08,1487,207.2,Phone
Q1-00499,2023-02-27,2900,452.89,Phone
Q1-00500,2023-01-30,1160,311.01,In-Store
Q1-00501,2023-01-11,3804,28.12,Phone
Q1-00502,2023-03-26,3294,297.83,Online
Q1-00503,2023-03-07,3969,226.42,In-Store
Q1-00504,2023-03-13,397,456.72,In-Store
Q1-00505,2023-02-09,3347,451.61,In-Store
Q1-00506,2023-03-12,3333,443.52,In-Store
Q1-00507,2023-01-23,3114,322.2,Online
Q1-00508,2023-01-11,956,486.99,Online
Q1-00509,2023-03-17,4760,382.46,Online
Q1-00510,2023-01-13,3008,137.42,In-Store
Q1-00511,2023-02-08,3226,36.95,In-Store
Q1-00512,2023-02-25,4998,414.55,In-Store
Q1-00513,2023-02-11,2480,414.29,In-Store
Q1-00514,2023-01-17,695,445.34,Online
Q1-00515,2023-03-23,757,447.13,Online
Q1-00516,2023-02-05,2259,494.43,Online
Q1-00517,2023-02-07,2542,341.94,In-Store
Q1-00518,2023-03-13,3420,264.29,Online
Q1-00519,2023-01-11,1081,96.86,Online
Q1-00520,2023-01-29,3222,494.16,In-Store
Q1-00521,2023-03-28,1417,375.6,Online
Q1-00522,2023-02-05,2341,55.97,Phone
Q1-00523,2023-03-03,4250,7.21,Online
Q1-00524,2023-03-07,2441,264.17,Online
Q1-00525,2023-01-16,483,461.55,In-Store
Q1-00526,2023-03-03,1108,465.0,In-Store
Q1-00527,2023-01-03,2996,419.96,In-Store
Q1-00528,2023-01-08,122,22.17,Phone
Q1-00529,2023-03-21,3321,266.37,Phone
Q1-00530,2023-01-08,4582,38.54,Phone
Q1-00531,2023-02-12,4268,58.05,Phone
Q1-00532,2023-02-07,4656,24.9,Phone
Q1-00533,2023-01-20,1672,14.97,Online
Q1-00534,2023-02-24,2202,101.1,Phone
Q1-00535,2023-03-02,782,470.98,Online
Q1-00536,2023-01-13,1104,95.83,Online
Q1-00537,2023-03-04,2975,121.18,In-Store
Q1-00538,2023-01-26,1611,152.85,Phone
Q1-00539,2023-02-27,2775,414.44,Phone
Q1-00540,2023-03-26,285,142.25,Phone
Q1-00541,2023-03-18,3932,426.45,Phone
Q1-00542,2023-02-13,3571,383.29,Online
Q1-00543,2023-03-25,4194,64.91,Online
Q1-00544,2023-02-05,3974,338.99,Phone
Q1-00545,2023-03-11,3253,117.84,In-Store
Q1-00546,2023-03-15,3803,484.71,Phone
Q1-00547,2023-03-01,3508,208.67,Online
Q1-00548,2023-02-15,3597,409.72,In-Store
Q1-00549,2023-02-25,2620,327.87,Online
Q1-00550,2023-02-17,804,32.34,In-Store
Q1-00551,2023-01-04,531,150.06,Phone
Q1-00552,2023-03-28,4827,133.97,Online
Q1-00553,2023-03-17,355,359.26,Online
Q1-00554,2023-02-15,431,55.46,Phone
Q1-00555,2023-03-07,3608,487.43,In-Store
Q1-00556,2023-01-20,4434,135.23,Phone
Q1-00557,2023-03-20,2010,60.66,Phone
Q1-00558,2023-02-17,19,456.78,In-Store
Q1-00559,2023-01-25,1237,368.77,Phone
Q1-00560,2023-03-15,2235,123.37,Phone
Q1-00561,2023-02-06,719,478.31,Online
Q1-00562,2023-03-24,3185,435.37,Online
Q1-00563,2023-03-09,3592,374.51,Phone
